"","Year","ScientificName_WoRMS","Poids","Nombre","Superficie","moyLat","moyLong"
"1",1988,"Merlangius merlangus",26,78,0.01703,49.60935,0.0825
"2",1988,"Gadus morhua",1.89975,1,0.01703,49.60935,0.0825
"3",1988,"Trachurus trachurus",4.8,16,0.01703,49.60935,0.0825
"4",1988,"Sprattus sprattus",25,1310,0.01703,49.60935,0.0825
"5",1988,"Pleuronectes platessa",2.29975,6,0.01703,49.60935,0.0825
"6",1988,"Limanda limanda",34,178,0.01703,49.60935,0.0825
"7",1988,"Solea solea",0.1,1,0.01703,49.60935,0.0825
"8",1988,"Clupea harengus",3.59975,112,0.01703,49.60935,0.0825
"9",1988,"Callionymus lyra",1.6,49,0.01703,49.60935,0.0825
"10",1988,"Trisopterus minutus",4.4,197,0.01703,49.60935,0.0825
"11",1988,"Scomber scombrus",0.5,2,0.01703,49.60935,0.0825
"12",1988,"Trisopterus luscus",10,288,0.01703,49.60935,0.0825
"13",1988,"Zeus faber",0.3,1,0.01703,49.60935,0.0825
"14",1988,"Pollachius pollachius",2.7,6,0.01703,49.60935,0.0825
"15",1988,"Scyliorhinus canicula",0.69975,1,0.01695,49.4838,-0.37165
"16",1988,"Callionymus lyra",0.5,11,0.01695,49.4838,-0.37165
"17",1988,"Raja clavata",0.69975,1,0.01695,49.4838,-0.37165
"18",1988,"Zeus faber",0.001,1,0.01695,49.4838,-0.37165
"19",1988,"Chelidonichthys lucerna",0.6,2,0.01695,49.4838,-0.37165
"20",1988,"Trigloporus lastoviza",0.2,2,0.01695,49.4838,-0.37165
"21",1988,"Gadus morhua",9.69975,3,0.01578,49.4035,-0.33785
"22",1988,"Trachurus trachurus",4.8,28,0.01578,49.4035,-0.33785
"23",1988,"Scyliorhinus canicula",2.5,3,0.01578,49.4035,-0.33785
"24",1988,"Callionymus lyra",NA,2,0.01578,49.4035,-0.33785
"25",1988,"Trisopterus minutus",16,1363,0.01578,49.4035,-0.33785
"26",1988,"Taurulus bubalis",NA,1,0.01578,49.4035,-0.33785
"27",1988,"Trisopterus luscus",0.2,9,0.01578,49.4035,-0.33785
"28",1988,"Spondyliosoma cantharus",1.1,22,0.01578,49.4035,-0.33785
